Rank,Points,Name,Age,M/F,Stance,Country,Style
39,"7,477",Elias Nilsen,22,M,Regular,NOR,Park
40,"7,406",Murilo Peres,28,M,Regular,BRA,Park
41,"6,667",Andrew Macdonald,51,M,Regular,GBR,Park
42,"5,631",Oliver Holm,17,M,Regular,DEN,Park
43,"5,334",Edouard Damestoy,27,M,Goofy,FRA,Park
44,"5,069",Jake Familton,13,M,Regular,USA,Park
45,"4,729",Guglielmo Marin,15,M,Goofy,ITA,Park
46,"4,609",Ash Wilcomes,17,M,Goofy,AUS,Park
47,"4,505",Yam Behar,22,M,Goofy,ISR,Park
48,"4,181",Cory Juneau,25,M,Regular,USA,Park
49,"4,007",Kiko Francisco,22,M,Regular,PHI,Park
50,"3,998",Zedyn Fellows,17,M,Goofy,NZL,Park
1,"222,900",Rayssa Leal,16,F,Goofy,BRA,Street
2,"194,000",Yumeka Oda,18,F,Regular,JPN,Street
3,"183,486",Momiji Nishiya,17,F,Regular,JPN,Street
4,"179,168",Liz Akama,15,F,Regular,JPN,Street
5,"166,688",Coco Yoshizawa,15,F,Regular,JPN,Street
6,"148,085",Chloe Covell,14,F,Regular,AUS,Street
7,"126,373",Miyu Ito,17,F,Regular,JPN,Street
8,"121,857",Funa Nakayama,19,F,Regular,JPN,Street
9,"88,614",Chenxi Cui,14,F,Regular,CHN,Street
10,"68,732",Paige Heyn,16,F,Regular,USA,Street
11,"68,376",Aoi Uemura,15,F,Regular,JPN,Street
12,"56,493",Pamela Rosa,25,F,Regular,BRA,Street
13,"51,824",Poe Pinson,19,F,Goofy,USA,Street
14,"49,719",Roos Zwetsloot,24,F,Regular,NED,Street
15,"46,712",Nanaka Fujisawa,23,F,Goofy,JPN,Street
16,"43,887",Ibuki Matsumoto,12,F,Regular,JPN,Street
17,"42,887",Wenhui Zeng,19,F,Regular,CHN,Street
18,"40,936",Lucie Schoonheere,14,F,Regular,FRA,Street
19,"38,807",Daniela Terol,16,F,Regular,ESP,Street
20,"35,542",Natalia Muñoz,16,F,Regular,ESP,Street
21,"28,852",Keet Oldenbeuving,20,F,Goofy,NED,Street
22,"25,628",Yuanling Zhu,13,F,Goofy,CHN,Street
23,"23,261",Nanami Onishi,14,F,Regular,JPN,Street
24,"20,775",Gabi Mazetto,27,F,Regular,BRA,Street
25,"18,132",Jazmin Alvarez,24,F,Regular,COL,Street
26,"16,686",Liv Broder,17,F,Goofy,SUI,Street
27,"16,653",Liv Lovelace,20,F,Regular,AUS,Street
28,"16,652",Abbie Burns,-,F,-,ESP,Street
29,"16,409",Afrika Criado Oliva,17,F,Regular,ESP,Street
